0	63	0 0 0 0 0 0 0 0 0 0 0 -0.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.05	63	0 0 0 0 0 0 -0.000644826 0.00356745 0.0316866 0.0190126 -0.040722 -0.972889 0.0290317 -0.000518868 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0444641 -0.0305855 0.00216936 -0.936927 -0.0102248 -0.01002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0059699 0.00608083 -0.000865015 0.0024855 0.0106606 -0.00958016 0.000178221 0.00596412 -0.00118903 0.0043831 0.00306601 -0.0038822 0.000570337 
0.1	63	0 0 0 0 0 0 -0.000298581 0.00226824 0.0365173 0.0285521 -0.047956 -0.993035 0.0427348 0.00270819 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0745234 -0.0536633 0.0120124 -0.943374 -0.0158297 -0.01549 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.00780595 0.00786911 -0.000874354 -0.00280021 0.0167885 -0.0117209 0.000539034 0.00775409 -0.00120538 0.00127819 0.00370784 -0.00271827 0.000935996 
0.15	63	0 0 0 0 0 0 4.76643e-05 0.000969022 0.041348 0.0380916 -0.05519 -1.01318 0.056438 0.00593525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.104583 -0.0767412 0.0218554 -0.949821 -0.0214346 -0.0209599 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.009642 0.00965739 -0.000883694 -0.00808592 0.0229165 -0.0138617 0.000899848 0.00954406 -0.00122174 -0.00182672 0.00434967 -0.00155433 0.00130166 
0.2	63	0 0 0 0 0 0 0.000393909 -0.000330194 0.0461787 0.047631 -0.062424 -1.03333 0.0701411 0.00916231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.134642 -0.099819 0.0316984 -0.956268 -0.0270395 -0.0264299 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.011478 0.0114457 -0.000893033 -0.0133716 0.0290445 -0.0160024 0.00126066 0.011334 -0.00123809 -0.00493163 0.0049915 -0.000390392 0.00166731 
0.25	63	0 0 0 0 0 0 0.000740154 -0.00162941 0.0510094 0.0571705 -0.069658 -1.05348 0.0838442 0.0123894 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.164701 -0.122897 0.0415415 -0.962716 -0.0326444 -0.0318998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0133141 0.013234 -0.000902373 -0.0186573 0.0351725 -0.0181432 0.00162147 0.013124 -0.00125445 -0.00803654 0.00563333 0.000773544 0.00203297 
0.3	63	0 0 0 0 0 0 0.0010864 -0.00292862 0.0558401 0.06671 -0.076892 -1.07362 0.0975473 0.0156164 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.19476 -0.145975 0.0513845 -0.969163 -0.0382493 -0.0373698 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0151501 0.0150222 -0.000911712 -0.0239431 0.0413005 -0.020284 0.00198229 0.014914 -0.0012708 -0.0111414 0.00627516 0.00193748 0.00239863 
0.35	63	0 0 0 0 0 0 0.00143264 -0.00422784 0.0606708 0.0762494 -0.084126 -1.09377 0.11125 0.0188435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.224819 -0.169053 0.0612275 -0.97561 -0.0438542 -0.0428397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0169862 0.0168105 -0.000921051 -0.0292288 0.0474285 -0.0224247 0.0023431 0.0167039 -0.00128716 -0.0142464 0.006917 0.00310142 0.00276429 
0.4	63	0 0 0 0 0 0 0.00177889 -0.00552706 0.0655015 0.0857889 -0.0913599 -1.11392 0.124954 0.0220705 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.254879 -0.19213 0.0710706 -0.982057 -0.0494591 -0.0483096 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0188222 0.0185988 -0.000930391 -0.0345145 0.0535564 -0.0245655 0.00270391 0.0184939 -0.00130352 -0.0173513 0.00755883 0.00426535 0.00312995 
0.45	63	0 0 0 0 0 0 0.00212513 -0.00682627 0.0703323 0.0953284 -0.0985939 -1.13406 0.138657 0.0252976 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.284938 -0.215208 0.0809136 -0.988504 -0.0550639 -0.0537796 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0206583 0.0203871 -0.00093973 -0.0398002 0.0596844 -0.0267063 0.00306473 0.0202839 -0.00131987 -0.0204562 0.00820066 0.00542929 0.00349561 
